Player ID,Player Name,Team Name,Statistic Name,Correlation Coefficient
4904,Alperen Şengün,Houston Rockets,FG Percent from 2P Range Ratio,0.992633517495396
4904,Alperen Şengün,Houston Rockets,FG Percent from 3P Range Diff,-0.10099999999999998
4904,Alperen Şengün,Houston Rockets,FG Percent from 3P Range Ratio,0.7106017191977078
4902,Ahmad Caver,Indiana Pacers,FG Percent Diff,0.5369999999999999
4902,Ahmad Caver,Indiana Pacers,FG Percent Ratio,2.159827213822894
4902,Ahmad Caver,Indiana Pacers,FG Percent from 2P Range Diff,0.45899999999999996
4902,Ahmad Caver,Indiana Pacers,FG Percent from 2P Range Ratio,1.8484288354898335
4902,Ahmad Caver,Indiana Pacers,FG Percent from 3P Range Diff,-0.344
4902,Ahmad Caver,Indiana Pacers,FG Percent from 3P Range Ratio,0
4690,Amir Coffey,Los Angeles Clippers,FG Percent Diff,-0.0050000000000000044
4690,Amir Coffey,Los Angeles Clippers,FG Percent Ratio,0.9890829694323144
4690,Amir Coffey,Los Angeles Clippers,FG Percent from 2P Range Diff,0.030000000000000027
4690,Amir Coffey,Los Angeles Clippers,FG Percent from 2P Range Ratio,1.05859375
4690,Amir Coffey,Los Angeles Clippers,FG Percent from 3P Range Diff,0.0040000000000000036
4690,Amir Coffey,Los Angeles Clippers,FG Percent from 3P Range Ratio,1.0106951871657754
4066,Anthony Davis,Los Angeles Lakers,FG Percent Diff,0.06300000000000006
4066,Anthony Davis,Los Angeles Lakers,FG Percent Ratio,1.1343283582089554
4066,Anthony Davis,Los Angeles Lakers,FG Percent from 2P Range Diff,0.02499999999999991
4066,Anthony Davis,Los Angeles Lakers,FG Percent from 2P Range Ratio,1.0457875457875456
4066,Anthony Davis,Los Angeles Lakers,FG Percent from 3P Range Diff,-0.16099999999999998
4066,Anthony Davis,Los Angeles Lakers,FG Percent from 3P Range Ratio,0.5360230547550433
4693,Brandon Clarke,Memphis Grizzlies,FG Percent Diff,0.183
