Node ID,Label,Betweenness Centrality,Closeness Centrality
4219,Aaron Gordon (Player),0.00008227067050596463,1
4069,Austin Rivers (Player),0.00008227067050596463,1
4692,Bol Bol (Player),0.00008227067050596463,1
4908,Bones Hyland (Player),0.00008227067050596463,1
4381,Bryn Forbes (Player),0.00009010597245891364,1
4915,Carlik Jones (Player),0.00010185892538833715,1
4488,Davon Reed (Player),0.00008227067050596463,1
3926,DeMarcus Cousins (Player),0.00010969422734128617,1
4832,Facundo Campazzo (Player),0.00008227067050596463,1
4255,JaMychal Green (Player),0.00008227067050596463,1
4252,James Ennis III (Player),0.00009010597245891364,1
3761,Jeff Green (Player),0.00008227067050596463,1
4863,Markus Howard (Player),0.00008227067050596463,1
4766,Michael Porter Jr. (Player),0.00008227067050596463,1
4551,Monte Morris (Player),0.00008227067050596463,1
4352,Nikola Jokić (Player),0.00008227067050596463,1
4557,PJ Dozier (Player),0.00008227067050596463,1
4999,Petr Cornelie (Player),0.00008227067050596463,1
4781,Rayjon Tucker (Player),0.00010969422734128617,1
4799,Vlatko Čančar (Player),0.00008227067050596463,1
4140,Will Barton (Player),0.00008227067050596463,1
4898,Zeke Nnaji (Player),0.00008227067050596463,1
3500,Andre Iguodala (Player),0.0000626824156235921,1
4223,Andrew Wiggins (Player),0.0000626824156235921,1
4598,Chris Chiozza (Player),0.0000626824156235921,1
4484,Damion Lee (Player),0.0000626824156235921,1
4085,Draymond Green (Player),0.0000626824156235921,1
4404,Gary Payton II (Player),0.0000626824156235921,1
4958,Jeff Dowtin (Player),0.00008227067050596463,1
4965,Jonathan Kuminga (Player),0.0000626824156235921,1
4737,Jordan Poole (Player),0.0000626824156235921,1
4739,Juan Toscano-Anderson (Player),0.0000626824156235921,1
4342,Kevon Looney (Player),0.0000626824156235921,1
4036,Klay Thompson (Player),0.0000626824156235921,1
4992,Moses Moody (Player),0.0000626824156235921,1
4351,Nemanja Bjelica (Player),0.0000626824156235921,1
4189,Otto Porter Jr. (Player),0.0000626824156235921,1
4780,Quinndary Weatherspoon (Player),0.0000626824156235921,1
3903,Stephen Curry (Player),0.0000626824156235921,1
4583,Alize Johnson (Player),0.00008227067050596463,1
4379,Brandon Ingram (Player),0.00008227067050596463,1
4154,CJ McCollum (Player),0.00010185892538833715,1
4607,Devonte' Graham (Player),0.00008227067050596463,1
4828,Didi Louzada (Player),0.00010185892538833715,1
3877,Garrett Temple (Player),0.00008227067050596463,1
4617,Gary Clark (Player),0.00008227067050596463,1
4939,Herbert Jones (Player),0.00008227067050596463,1
4726,Jared Harper (Player),0.00008227067050596463,1
4730,Jaxson Hayes (Player),0.00008227067050596463,1
4100,Jonas Valančiūnas (Player),0.00008227067050596463,1
4968,Jose Alvarado (Player),0.00008227067050596463,1
4525,Josh Hart (Player),0.00010185892538833715,1
4857,Kira Lewis Jr. (Player),0.00008227067050596463,1
4345,Larry Nance Jr. (Player),0.00010185892538833715,1
4865,Naji Marshall (Player),0.00008227067050596463,1
4773,Nickeil Alexander-Walker (Player),0.00009010597245891364,1
4454,Tomáš Satoranský (Player),0.00010969422734128617,1
4212,Tony Snell (Player),0.00010185892538833715,1
5016,Trey Murphy III (Player),0.00008227067050596463,1
4575,Tyrone Wallace (Player),0.00008227067050596463,1
4460,Willy Hernangómez (Player),0.00008227067050596463,1
4911,Braxton Key (Player),0.00008618832148243914,1
4912,Cade Cunningham (Player),0.00010185892538833715,1
4699,Carsen Edwards (Player),0.00010185892538833715,1
4815,Cassius Stanley (Player),0.00010185892538833715,1
4385,Cheick Diallo (Player),0.00010185892538833715,1
3992,Cory Joseph (Player),0.00010185892538833715,1
4822,Deividas Sirvydis (Player),0.00010185892538833715,1
4491,Derrick Walton (Player),0.00010185892538833715,1
4616,Frank Jackson (Player),0.00010185892538833715,1
4621,Hamidou Diallo (Player),0.00010185892538833715,1
4941,Isaiah Livers (Player),0.00010185892538833715,1
4840,Isaiah Stewart (Player),0.00010185892538833715,1
4950,Jamorko Pickett (Player),0.00010185892538833715,1
4957,Jaysean Paige (Player),0.00010185892538833715,1
4257,Jerami Grant (Player),0.00010185892538833715,1
4526,Josh Jackson (Player),0.00009794127441186265,1
4741,Justin Robinson (Player),0.00009794127441186265,1
4177,Kelly Olynyk (Player),0.00010185892538833715,1
4855,Killian Hayes (Player),0.00010185892538833715,1
4982,Luka Garza (Player),0.00010185892538833715,1
4656,Marvin Bagley III (Player),0.00009794127441186265,1
4990,Micah Potter (Player),0.00010185892538833715,1
4443,Rodney McGruder (Player),0.00010185892538833715,1
4881,Saben Lee (Player),0.00010185892538833715,1
4882,Saddiq Bey (Player),0.00010185892538833715,1
5011,Trayvon Palmer (Player),0.00010185892538833715,1
4369,Trey Lyles (Player),0.00009794127441186265,1
4690,Amir Coffey (Player),0.00008618832148243914,1
4909,Brandon Boston Jr. (Player),0.00008618832148243914,1
3934,Eric Bledsoe (Player),0.00008618832148243914,1
4627,Isaiah Hartenstein (Player),0.00008618832148243914,1
4410,Ivica Zubac (Player),0.00008618832148243914,1
4252,James Ennis III (Player),0.00009010597245891364,1
4847,Jay Scrubb (Player),0.00008618832148243914,1
4338,Justise Winslow (Player),0.00010185892538833715,1
4976,Keon Johnson (Player),0.00010185892538833715,1
4538,Luke Kennard (Player),0.00008618832148243914,1
4042,Marcus Morris (Player),0.00008618832148243914,1
4993,Moses Wright (Player),0.00010185892538833715,1
3841,Nicolas Batum (Player),0.00008618832148243914,1
4353,Norman Powell (Player),0.00010185892538833715,1
3969,Paul George (Player),0.00008618832148243914,1
4050,Reggie Jackson (Player),0.00008618832148243914,1
4197,Robert Covington (Player),0.00010185892538833715,1
4285,Rodney Hood (Player),0.00010969422734128617,1
4562,Semi Ojeleye (Player),0.00010969422734128617,1
3902,Serge Ibaka (Player),0.00010969422734128617,1
4791,Terance Mann (Player),0.00008618832148243914,1
4800,Wenyen Gabriel (Player),0.00009010597245891364,1
5020,Xavier Moon (Player),0.00008618832148243914,1
4307,Bobby Portis (Player),0.00010969422734128617,1
3801,Brook Lopez (Player),0.00010969422734128617,1
4393,DeAndre' Bembry (Player),0.00009010597245891364,1
3926,DeMarcus Cousins (Player),0.00010969422734128617,1
4608,Donte DiVincenzo (Player),0.00009794127441186265,1
3816,George Hill (Player),0.00010969422734128617,1
4936,Georgios Kalaitzakis (Player),0.00009794127441186265,1
4164,Giannis Antetokounmpo (Player),0.00010969422734128617,1
4620,Grayson Allen (Player),0.00010969422734128617,1
3942,Greg Monroe (Player),0.00009010597245891364,1
4954,Javin DeLaurier (Player),0.00010969422734128617,1
4955,Javonte Smart (Player),0.00008227067050596463,1
4958,Jeff Dowtin (Player),0.00008227067050596463,1
4638,Jevon Carter (Player),0.00009010597245891364,1
4849,Jordan Nwora (Player),0.00010969422734128617,1
3891,Jrue Holiday (Player),0.00010969422734128617,1
4741,Justin Robinson (Player),0.00009794127441186265,1
4107,Khris Middleton (Player),0.00010969422734128617,1
4272,Langston Galloway (Player),0.00009010597245891364,1
4980,Lindell Wigginton (Player),0.00010969422734128617,1
4539,Luke Kornet (Player),0.00010577657636481166,1
4354,Pat Connaughton (Player),0.00010969422734128617,1
4781,Rayjon Tucker (Player),0.00010969422734128617,1
